ERFASSUNGSNUMMER;JOURNALNAME;ANZAHL_ZEILEN;SUMME_ABS_EUR;ERSTELLER;ERFASST_AM;ERFASST_UM;FREIGEBER;FREIGABEDATUM;FREIGABESTATUS
5640375885;GL-375885;2;34,00;BSP-U10;03.02.2025;12:30:32;BSP-U02;05.02.2025;Freigegeben
5640381727;GL-381727;224;950329,06;BSP-U10;03.02.2025;15:29:41;BSP-U02;03.02.2025;Freigegeben
5640393084;GL-393084;2;103,56;BSP-U02;03.02.2025;09:43:11;BSP-U10;03.02.2025;Freigegeben
5640393085;GL-393085;2;28,66;BSP-U02;03.02.2025;11:20:03;BSP-U10;03.02.2025;Freigegeben
5640393088;GL-393088;2;171,48;BSP-U02;03.02.2025;10:19:32;BSP-U10;04.02.2025;Freigegeben
5640393090;GL-393090;2;213,16;BSP-U02;03.02.2025;11:33:28;BSP-U10;03.02.2025;Freigegeben
5640393092;GL-393092;2;77,78;BSP-U02;03.02.2025;09:16:12;BSP-U10;04.02.2025;Freigegeben
5640393093;GL-393093;2;948,46;BSP-U02;03.02.2025;10:16:17;BSP-U10;05.02.2025;Freigegeben
5640393096;GL-393096;2;14731,12;BSP-U02;03.02.2025;07:40:40;BSP-U10;04.02.2025;Freigegeben
5640393100;GL-393100;2;258,06;BSP-U02;03.02.2025;10:31:39;BSP-U10;05.02.2025;Freigegeben
5640393104;GL-393104;2;116,28;BSP-U02;03.02.2025;15:58:44;BSP-U10;03.02.2025;Freigegeben
5640393107;GL-393107;2;1732,58;BSP-U02;03.02.2025;16:48:43;BSP-U10;05.02.2025;Freigegeben
5640393110;GL-393110;2;1767,96;BSP-U02;03.02.2025;10:47:20;BSP-U10;03.02.2025;Freigegeben
5640393113;GL-393113;2;355,60;BSP-U02;03.02.2025;10:33:04;BSP-U10;03.02.2025;Freigegeben
5640393114;GL-393114;2;35,90;BSP-U02;03.02.2025;08:44:44;BSP-U10;04.02.2025;Freigegeben
5640393116;GL-393116;2;104,74;BSP-U02;03.02.2025;11:08:59;BSP-U10;05.02.2025;Freigegeben
5640393117;GL-393117;2;1391,66;BSP-U02;03.02.2025;14:21:42;BSP-U10;03.02.2025;Freigegeben
5640393118;GL-393118;2;973,56;BSP-U02;03.02.2025;16:16:44;BSP-U10;04.02.2025;Freigegeben
5640393120;GL-393120;2;62910,14;BSP-U02;03.02.2025;10:32:21;BSP-U10;03.02.2025;Freigegeben
5640393121;GL-393121;2;5696,76;BSP-U02;03.02.2025;08:55:38;BSP-U10;03.02.2025;Freigegeben
5640393122;GL-393122;2;48846,60;BSP-U02;03.02.2025;10:42:10;BSP-U10;05.02.2025;Freigegeben
5640393123;GL-393123;2;7000,48;BSP-U02;03.02.2025;09:47:58;BSP-U10;03.02.2025;Freigegeben
5640393127;GL-393127;2;332,80;BSP-U02;03.02.2025;12:25:30;BSP-U10;05.02.2025;Freigegeben
5640393128;GL-393128;2;141,42;BSP-U02;03.02.2025;17:02:45;BSP-U10;05.02.2025;Freigegeben
5640393131;GL-393131;2;1985,48;BSP-U02;03.02.2025;12:40:14;BSP-U10;05.02.2025;Freigegeben
5640393133;GL-393133;2;153,00;BSP-U02;03.02.2025;16:05:23;BSP-U10;04.02.2025;Freigegeben
5640393134;GL-393134;2;712,32;BSP-U02;03.02.2025;17:18:40;BSP-U10;04.02.2025;Freigegeben
5640393135;GL-393135;2;712,32;BSP-U02;03.02.2025;10:28:35;BSP-U10;05.02.2025;Freigegeben
5640393137;GL-393137;2;107,44;BSP-U02;03.02.2025;12:05:54;BSP-U10;03.02.2025;Freigegeben
5640393139;GL-393139;2;3395,44;BSP-U02;03.02.2025;07:50:53;BSP-U10;03.02.2025;Freigegeben
5640393141;GL-393141;2;301,76;BSP-U02;03.02.2025;08:49:35;BSP-U10;03.02.2025;Freigegeben
5640393145;GL-393145;2;77,62;BSP-U02;03.02.2025;15:36:52;BSP-U10;03.02.2025;Freigegeben
5640393153;GL-393153;2;59,40;BSP-U02;03.02.2025;10:20:17;BSP-U10;04.02.2025;Freigegeben
5640393158;GL-393158;2;8,72;BSP-U02;03.02.2025;09:26:08;BSP-U10;03.02.2025;Freigegeben
5640393163;GL-393163;2;10,92;BSP-U02;03.02.2025;15:23:19;BSP-U10;03.02.2025;Freigegeben
5640393164;GL-393164;2;75,08;BSP-U02;03.02.2025;09:14:29;BSP-U10;04.02.2025;Freigegeben
5640393165;GL-393165;2;42,72;BSP-U02;03.02.2025;11:30:06;BSP-U10;04.02.2025;Freigegeben
5640393169;GL-393169;2;25,50;BSP-U02;03.02.2025;16:12:30;BSP-U10;03.02.2025;Freigegeben
5640393170;GL-393170;2;22,18;BSP-U02;03.02.2025;10:27:42;BSP-U10;04.02.2025;Freigegeben
5640393173;GL-393173;2;13,04;BSP-U02;03.02.2025;10:28:01;BSP-U10;05.02.2025;Freigegeben
5640393175;GL-393175;2;155,56;BSP-U02;03.02.2025;16:41:02;BSP-U10;05.02.2025;Freigegeben
5640393177;GL-393177;2;15,14;BSP-U02;03.02.2025;14:22:39;BSP-U10;05.02.2025;Freigegeben
5640393178;GL-393178;2;44,02;BSP-U02;03.02.2025;16:21:39;BSP-U02;03.02.2025;Freigegeben (Ersteller=Freigeber)
5640393181;GL-393181;2;78,52;BSP-U02;03.02.2025;10:48:04;BSP-U10;04.02.2025;Freigegeben
5640393186;GL-393186;2;30,68;BSP-U02;03.02.2025;13:42:42;BSP-U10;05.02.2025;Freigegeben
5640393188;GL-393188;2;38,34;BSP-U02;03.02.2025;16:27:06;BSP-U10;03.02.2025;Freigegeben
5640393192;GL-393192;2;31,62;BSP-U02;03.02.2025;09:46:58;BSP-U10;05.02.2025;Freigegeben
5640393193;GL-393193;2;86,56;BSP-U02;03.02.2025;09:13:18;BSP-U10;04.02.2025;Freigegeben
5640393209;GL-393209;2;2152,92;BSP-U02;03.02.2025;11:21:56;BSP-U10;04.02.2025;Freigegeben
5640393221;GL-393221;2;465,66;BSP-U02;03.02.2025;16:17:47;BSP-U10;05.02.2025;Freigegeben
5640393226;GL-393226;2;95,72;BSP-U02;03.02.2025;09:52:58;BSP-U10;05.02.2025;Freigegeben
5640393227;GL-393227;2;145,48;BSP-U02;03.02.2025;13:12:33;BSP-U10;03.02.2025;Freigegeben
5640393239;GL-393239;2;57,12;BSP-U02;03.02.2025;15:31:19;BSP-U10;03.02.2025;Freigegeben
5640393240;GL-393240;2;70,58;BSP-U02;03.02.2025;10:54:47;BSP-U10;04.02.2025;Freigegeben
5640393246;GL-393246;2;157,78;BSP-U02;03.02.2025;11:47:23;BSP-U10;04.02.2025;Freigegeben
5640393249;GL-393249;2;51,02;BSP-U02;03.02.2025;11:50:26;BSP-U10;04.02.2025;Freigegeben
5640393250;GL-393250;2;67,66;BSP-U02;03.02.2025;12:37:35;BSP-U10;04.02.2025;Freigegeben
5640393256;GL-393256;2;56,00;BSP-U02;03.02.2025;11:00:06;BSP-U10;03.02.2025;Freigegeben
5640393260;GL-393260;2;73,00;BSP-U02;03.02.2025;11:10:12;BSP-U10;03.02.2025;Freigegeben
5640393262;GL-393262;2;50,60;BSP-U02;03.02.2025;15:59:35;BSP-U02;03.02.2025;Freigegeben (Ersteller=Freigeber)
5640393270;GL-393270;2;1581,00;BSP-U02;03.02.2025;10:36:03;BSP-U10;04.02.2025;Freigegeben
5640393437;GL-393437;2;2,80;BSP-U11;03.02.2025;10:11:19;BSP-U10;04.02.2025;Freigegeben
5640394373;GL-394373;2;233,88;BSP-U10;03.02.2025;10:06:41;BSP-U02;03.02.2025;Freigegeben
5640420668;GL-420668;2;30,00;BSP-U10;03.02.2025;17:07:43;BSP-U02;03.02.2025;Freigegeben
5640448493;GL-448493;184;2124309,88;BSP-U02;03.02.2025;07:24:07;BSP-U10;04.02.2025;Freigegeben
5640448494;GL-448494;184;2124309,88;BSP-U02;03.02.2025;10:13:34;BSP-U10;05.02.2025;Freigegeben
5640448543;GL-448543;2;3520,00;BSP-U02;03.02.2025;14:53:44;BSP-U10;04.02.2025;Freigegeben
5640448554;GL-448554;4;128734,00;BSP-U02;03.02.2025;16:22:11;BSP-U10;04.02.2025;Freigegeben
5640475428;GL-475428;2;1786838,14;BSP-U10;03.02.2025;09:00:45;BSP-U02;04.02.2025;Freigegeben
5640375879;GL-375879;2;218164,52;BSP-U10;04.02.2025;16:30:19;BSP-U02;04.02.2025;Freigegeben
5640393089;GL-393089;2;4543,02;BSP-U02;04.02.2025;09:29:00;BSP-U10;04.02.2025;Freigegeben
5640393091;GL-393091;2;184,22;BSP-U02;04.02.2025;09:16:15;BSP-U10;05.02.2025;Freigegeben
5640393101;GL-393101;2;21,76;BSP-U02;04.02.2025;13:21:45;BSP-U10;05.02.2025;Freigegeben
5640393103;GL-393103;2;3717,66;BSP-U02;04.02.2025;08:24:48;BSP-U10;05.02.2025;Freigegeben
5640393108;GL-393108;2;91,64;BSP-U02;04.02.2025;12:13:13;BSP-U10;04.02.2025;Freigegeben
5640393112;GL-393112;2;655,52;BSP-U02;04.02.2025;08:30:22;BSP-U10;05.02.2025;Freigegeben
5640393119;GL-393119;2;2826,78;BSP-U02;04.02.2025;08:49:22;BSP-U10;04.02.2025;Freigegeben
5640393124;GL-393124;2;14609,38;BSP-U02;04.02.2025;12:25:06;BSP-U10;05.02.2025;Freigegeben
5640393125;GL-393125;2;1752,50;BSP-U02;04.02.2025;07:38:44;BSP-U10;06.02.2025;Freigegeben
5640393136;GL-393136;2;3165,60;BSP-U02;04.02.2025;12:42:38;BSP-U10;04.02.2025;Freigegeben
5640393142;GL-393142;2;75,28;BSP-U02;04.02.2025;17:56:00;BSP-U10;05.02.2025;Freigegeben
5640393159;GL-393159;2;24,00;BSP-U02;04.02.2025;12:36:55;BSP-U10;06.02.2025;Freigegeben
5640393162;GL-393162;2;360,72;BSP-U02;04.02.2025;18:36:52;BSP-U10;06.02.2025;Freigegeben
5640393168;GL-393168;2;11,06;BSP-U02;04.02.2025;10:47:18;BSP-U10;05.02.2025;Freigegeben
5640393171;GL-393171;2;10,48;BSP-U02;04.02.2025;08:34:22;BSP-U10;05.02.2025;Freigegeben
5640393179;GL-393179;2;22,58;BSP-U02;04.02.2025;11:53:16;BSP-U10;04.02.2025;Freigegeben
5640393185;GL-393185;2;52,68;BSP-U02;04.02.2025;18:36:27;BSP-U10;04.02.2025;Freigegeben
5640393191;GL-393191;2;55,46;BSP-U02;04.02.2025;09:48:33;BSP-U10;06.02.2025;Freigegeben
5640393211;GL-393211;2;26,88;BSP-U02;04.02.2025;10:51:01;BSP-U10;04.02.2025;Freigegeben
5640393254;GL-393254;2;678,62;BSP-U02;04.02.2025;11:30:33;BSP-U10;04.02.2025;Freigegeben
5640393258;GL-393258;2;66,54;BSP-U02;04.02.2025;17:35:54;BSP-U10;04.02.2025;Freigegeben
5640393261;GL-393261;2;91,16;BSP-U02;04.02.2025;12:27:50;BSP-U10;06.02.2025;Freigegeben
5640393266;GL-393266;2;89,16;BSP-U02;04.02.2025;09:47:08;BSP-U10;05.02.2025;Freigegeben
5640393271;GL-393271;2;364,58;BSP-U02;04.02.2025;13:34:07;BSP-U10;06.02.2025;Freigegeben
5640394368;GL-394368;68;10000,00;BSP-U10;04.02.2025;13:12:15;BSP-U02;06.02.2025;Freigegeben
5640446846;GL-446846;2;114705,60;BSP-U10;04.02.2025;09:51:30;BSP-U02;04.02.2025;Freigegeben
5640446973;GL-446973;2;39616,26;BSP-U10;04.02.2025;13:13:21;BSP-U02;04.02.2025;Freigegeben
5640448542;GL-448542;2;22000,00;BSP-U02;04.02.2025;15:05:47;BSP-U10;05.02.2025;Freigegeben
5640474317;GL-474317;2;22,40;BSP-U11;04.02.2025;07:27:47;BSP-U02;05.02.2025;Freigegeben
5640474318;GL-474318;2;9,60;BSP-U11;04.02.2025;10:52:52;BSP-U02;04.02.2025;Freigegeben
5640474319;GL-474319;2;1,40;BSP-U11;04.02.2025;09:37:45;BSP-U10;05.02.2025;Freigegeben
5640364019;GL-364019;2;79754,38;BSP-U10;05.02.2025;10:10:36;BSP-U02;05.02.2025;Freigegeben
5640393083;GL-393083;2;25846,90;BSP-U02;05.02.2025;12:58:04;BSP-U10;06.02.2025;Freigegeben
5640393086;GL-393086;2;4197,12;BSP-U02;05.02.2025;09:41:19;BSP-U10;06.02.2025;Freigegeben
5640393087;GL-393087;2;212,46;BSP-U02;05.02.2025;09:48:11;BSP-U10;06.02.2025;Freigegeben
5640393094;GL-393094;2;36,22;BSP-U02;05.02.2025;09:23:01;BSP-U10;05.02.2025;Freigegeben
5640393102;GL-393102;2;70,74;BSP-U02;05.02.2025;15:57:32;BSP-U10;06.02.2025;Freigegeben
5640393109;GL-393109;2;5867,86;BSP-U02;05.02.2025;07:24:10;BSP-U10;06.02.2025;Freigegeben
5640393111;GL-393111;2;639,80;BSP-U02;05.02.2025;15:41:12;BSP-U10;07.02.2025;Freigegeben
5640393115;GL-393115;2;798,72;BSP-U02;05.02.2025;09:26:29;BSP-U10;06.02.2025;Freigegeben
5640393126;GL-393126;2;21252,82;BSP-U02;05.02.2025;13:00:20;BSP-U10;05.02.2025;Freigegeben
5640393138;GL-393138;2;32010,98;BSP-U02;05.02.2025;14:14:15;BSP-U10;06.02.2025;Freigegeben
5640393140;GL-393140;2;2291,66;BSP-U02;05.02.2025;08:08:40;BSP-U10;06.02.2025;Freigegeben
5640393144;GL-393144;2;3152,24;BSP-U02;05.02.2025;09:53:09;BSP-U10;05.02.2025;Freigegeben
5640393146;GL-393146;2;3579,00;BSP-U02;05.02.2025;09:29:51;BSP-U10;07.02.2025;Freigegeben
5640393148;GL-393148;2;184,58;BSP-U02;05.02.2025;07:58:24;BSP-U10;06.02.2025;Freigegeben
5640393150;GL-393150;2;206,76;BSP-U02;05.02.2025;10:47:53;BSP-U10;07.02.2025;Freigegeben
5640393152;GL-393152;2;67,30;BSP-U02;05.02.2025;15:41:23;BSP-U10;06.02.2025;Freigegeben
5640393154;GL-393154;2;108,70;BSP-U02;05.02.2025;09:30:50;BSP-U10;06.02.2025;Freigegeben
5640393155;GL-393155;2;31,22;BSP-U02;05.02.2025;09:29:15;BSP-U10;05.02.2025;Freigegeben
5640393156;GL-393156;2;64,68;BSP-U02;05.02.2025;09:00:24;BSP-U10;05.02.2025;Freigegeben
5640393160;GL-393160;2;74,48;BSP-U02;05.02.2025;09:41:44;BSP-U10;07.02.2025;Freigegeben
5640393161;GL-393161;2;24,48;BSP-U02;05.02.2025;12:34:21;BSP-U10;05.02.2025;Freigegeben
5640393174;GL-393174;2;128,58;BSP-U02;05.02.2025;08:48:34;BSP-U10;05.02.2025;Freigegeben
5640393183;GL-393183;2;273,66;BSP-U02;05.02.2025;13:19:29;BSP-U10;05.02.2025;Freigegeben
5640393190;GL-393190;2;111,50;BSP-U02;05.02.2025;07:58:32;BSP-U10;06.02.2025;Freigegeben
5640393197;GL-393197;2;12,42;BSP-U02;05.02.2025;15:59:57;BSP-U10;05.02.2025;Freigegeben
5640393213;GL-393213;2;147,08;BSP-U02;05.02.2025;09:37:58;BSP-U10;05.02.2025;Freigegeben
5640393216;GL-393216;2;47,62;BSP-U02;05.02.2025;08:26:15;BSP-U10;05.02.2025;Freigegeben
5640393219;GL-393219;2;194,54;BSP-U02;05.02.2025;13:43:48;BSP-U10;07.02.2025;Freigegeben
5640393222;GL-393222;2;84,34;BSP-U02;05.02.2025;13:46:01;BSP-U10;06.02.2025;Freigegeben
5640393223;GL-393223;2;20,38;BSP-U02;05.02.2025;12:52:00;BSP-U10;05.02.2025;Freigegeben
5640393224;GL-393224;2;427,08;BSP-U02;05.02.2025;12:19:42;BSP-U10;07.02.2025;Freigegeben
5640393225;GL-393225;2;131,84;BSP-U02;05.02.2025;14:01:18;BSP-U10;06.02.2025;Freigegeben
5640393229;GL-393229;2;300,00;BSP-U02;05.02.2025;17:21:12;BSP-U10;05.02.2025;Freigegeben
5640393230;GL-393230;2;132,20;BSP-U02;05.02.2025;15:16:27;BSP-U10;05.02.2025;Freigegeben
5640393252;GL-393252;2;71,14;BSP-U02;05.02.2025;12:45:03;BSP-U10;07.02.2025;Freigegeben
5640393253;GL-393253;2;187,90;BSP-U02;05.02.2025;15:41:34;BSP-U10;06.02.2025;Freigegeben
5640393255;GL-393255;2;47,66;BSP-U02;05.02.2025;09:43:31;BSP-U10;05.02.2025;Freigegeben
5640393257;GL-393257;2;56,00;BSP-U02;05.02.2025;14:56:18;BSP-U10;07.02.2025;Freigegeben
5640393259;GL-393259;2;73,00;BSP-U02;05.02.2025;07:59:52;BSP-U10;06.02.2025;Freigegeben
5640394377;GL-394377;16;1891,50;BSP-U10;05.02.2025;12:00:27;BSP-U02;06.02.2025;Freigegeben
5640420669;GL-420669;2;19,80;BSP-U10;05.02.2025;14:29:30;BSP-U02;07.02.2025;Freigegeben
5640364026;GL-364026;2;100,00;BSP-U10;06.02.2025;10:29:29;BSP-U02;10.02.2025;Freigegeben
5640393099;GL-393099;2;74712,42;BSP-U02;06.02.2025;09:02:39;BSP-U10;06.02.2025;Freigegeben
5640393105;GL-393105;2;2070,88;BSP-U02;06.02.2025;16:48:38;BSP-U10;07.02.2025;Freigegeben
