BUCHUNGSNUMMER;SACHKONTO;BUCHUNGSDATUM;AENDERUNGSART;BENUTZER;GEAENDERT_AM;GEAENDERT_UM;BEMERKUNG;FESTSCHREIBUNG_VOR_AENDERUNG
5657382356;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382362;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382382;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382414;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382364;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382416;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382358;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382360;440020-BSP-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382327;448020-XGGKTOP30 030-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382329;448020-XGGKTOP30 100-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382333;448020-XGSFPLUS30 160-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382335;448020-XGSFPRM30 040-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382337;448020-XGSFPRM30 060-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382341;448020-XGSFPRM30 160-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382345;448020-XGSFPRM30 200-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382347;448020-XGSFTOP30 030-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382349;448020-XGSFTOP30 040-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382351;448020-XGSFTOP30 050-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382353;448020-XGSFTOP30 060-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382355;448020-XGSFTOP30 080-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382357;448020-XGSFTOP30 100-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382359;448020-XGSFTOP30 120-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382361;448020-XGSFTOP30 140-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382363;448020-XGSFTOP30 160-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382365;448020-XGSFTOP30 180-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382367;448020-XGSFTOP30 200-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382369;448020-XGSFTOP30TB 200-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382371;448020-XGSFTOP30TB 240-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382375;448020-XGSFTOP50 060-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382379;448020-XGSFTOP50 100-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382381;448020-XGSFTOP50 120-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382383;448020-XGSFTOP50 140-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382385;448020-XGSFTOP50 160-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382389;448020-XGSFTOP70 120-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382391;448020-XPGKPLUS 140-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382395;448020-XPGKPRM 100-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382397;448020-XPGKPRM 120-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382399;448020-XPGKPRM 160-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382401;448020-XPGKTOP 020-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382403;448020-XPGKTOP 030-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382405;448020-XPGKTOP 040-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382407;448020-XPGKTOP 050-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382409;448020-XPGKTOP 060-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382411;448020-XPGKTOP 080-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382413;448020-XPGKTOP 100-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382415;448020-XPGKTOP 120-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382417;448020-XPGKTOP 140-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382419;448020-XPGKTOP 160-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382425;448020-XPGKTOPTB 240-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382627;440020-XGSFTOP30 060-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382629;440020-XGSFTOP30 080-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382631;440020-XGSFTOP30 120-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382633;440020-XGSFTOP30 140-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382635;440020-XGSFTOP50 120-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382637;440020-XGSFTOP70 100-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382639;440020-XGSFTOP70TB 140-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382641;440020-XPGKTOP 030-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382643;440020-XPGKTOP 050-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382645;440020-XPGKTOP 060-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382647;440020-XPGKTOP 080-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382649;440020-XPGKTOP 100-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5657382651;440020-XPGKTOPTB 180-802445----10--;30.01.2025;Stornobuchung (Generalstorno);BSP-U10;03.02.2025;07:24:55;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5660207032;440020-BSP-800002----10--;30.05.2025;Stornobuchung (Generalstorno);BSP-U11;04.06.2025;09:26:13;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5660207036;440020-BSP-800002----10--;30.05.2025;Stornobuchung (Generalstorno);BSP-U11;04.06.2025;09:26:13;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5660207176;440020-BSP-800002----10--;30.05.2025;Stornobuchung (Generalstorno);BSP-U11;04.06.2025;09:26:13;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5660207160;440020-BSP-800002----10--;30.05.2025;Stornobuchung (Generalstorno);BSP-U11;04.06.2025;09:26:13;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5660207035;448020-XGSFTOP30TB 300-800002---XPS-10--;30.05.2025;Stornobuchung (Generalstorno);BSP-U11;04.06.2025;09:26:13;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5660207175;440020-XGSFTOP70 160-800002---XPS-10--;30.05.2025;Stornobuchung (Generalstorno);BSP-U11;04.06.2025;09:26:13;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5660207031;448020-XGSFTOP30TB 240 _G-800002---XPS-10--;30.05.2025;Stornobuchung (Generalstorno);BSP-U11;04.06.2025;09:26:13;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5660207159;440020-XGSFTOP50TB 200 _G-800002---XPS-10--;30.05.2025;Stornobuchung (Generalstorno);BSP-U11;04.06.2025;09:26:13;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5658944567;440020-BSP-802502----10--;31.03.2025;Stornobuchung (Generalstorno);BSP-U10;07.04.2025;12:16:00;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5658944607;440020-BSP-802502----10--;31.03.2025;Stornobuchung (Generalstorno);BSP-U10;07.04.2025;12:16:00;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5658944653;440020-BSP-802773----10--;31.03.2025;Stornobuchung (Generalstorno);BSP-U10;07.04.2025;12:16:00;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5658944651;440020-BSP-802773----10--;31.03.2025;Stornobuchung (Generalstorno);BSP-U10;07.04.2025;12:16:00;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5658944129;440020-BSP-800917----10--;31.03.2025;Stornobuchung (Generalstorno);BSP-U10;07.04.2025;12:16:00;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5658944128;448020-XGSFTOP30 100 _G-800917---XPS-10--;31.03.2025;Stornobuchung (Generalstorno);BSP-U10;07.04.2025;12:16:00;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5658944566;448020-XGSFPRM30 180-802502---XPS-10--;31.03.2025;Stornobuchung (Generalstorno);BSP-U10;07.04.2025;12:16:00;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5658944606;448020-XGSFTOP70 200-802502---XPS-10--;31.03.2025;Stornobuchung (Generalstorno);BSP-U10;07.04.2025;12:16:00;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
5658944650;448020-XPGKTOP 020-802773---XPS-10--;31.03.2025;Stornobuchung (Generalstorno);BSP-U10;07.04.2025;12:16:00;Ursprungsbeleg storniert; Neubuchung im selben Journal;Ja
