RECHNUNGSNUMMER;ART;DEBITOR;DEBITORNAME;KUNDENGRUPPE;FAKTURADATUM;LEISTUNGSDATUM;WARENAUSGANG_NR;WARENAUSGANG_DATUM;LIEFERART;BETRAG_EUR;WAEHRUNG;STORNO_REF;BUCHUNGSTEXT;BEMERKUNG
SI10052810;Rechnung;801839;MAIN FOLIEN GMBH;C-DOM;09.01.2025;09.01.2025;DN10054496;09.01.2025;Warenlieferung;1627,92;EUR;;;
SI10052811;Rechnung;801839;MAIN FOLIEN GMBH;C-DOM;09.01.2025;09.01.2025;DN10054495;09.01.2025;Warenlieferung;2563,97;EUR;;;
SI10052812;Rechnung;800055;ALLGÄURECYCLING;C-DOM;09.01.2025;09.01.2025;DN10054494;09.01.2025;Warenlieferung;2432,41;EUR;;;
SI10052813;Rechnung;801071;FORMA PLATTEN GMBH;C-DOM;09.01.2025;09.01.2025;DN10054493;09.01.2025;Warenlieferung;3255,84;EUR;;;
SI10052814;Rechnung;801992;ROBURSPEDITION GMBH;C-DOM;09.01.2025;09.01.2025;DN10054492;09.01.2025;Warenlieferung;2402,04;EUR;;;
SI10052921;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.01.2025;09.01.2025;DN10054491;09.01.2025;Warenlieferung;6014,74;EUR;;;
SI10052922;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.01.2025;09.01.2025;DN10054490;09.01.2025;Warenlieferung;10432,97;EUR;;;
SI10052924;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.01.2025;09.01.2025;DN10054489;09.01.2025;Warenlieferung;2679,21;EUR;;;
SI10052925;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.01.2025;09.01.2025;DN10054488;09.01.2025;Warenlieferung;848,23;EUR;;;
SI10052926;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.01.2025;09.01.2025;DN10054487;09.01.2025;Warenlieferung;6589,22;EUR;;;
SI10052965;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.01.2025;09.01.2025;DN10054486;09.01.2025;Warenlieferung;1248,79;EUR;;;
SI10052966;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN10054485;09.01.2025;Warenlieferung;2877,42;EUR;;;
SI10053668;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN10054484;09.01.2025;Warenlieferung;6770,35;EUR;;;
SI10053827;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN10054483;09.01.2025;Warenlieferung;11185,52;EUR;;;
SI10053841;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.01.2025;09.01.2025;DN10054482;09.01.2025;Warenlieferung;10638,60;EUR;;;
SCN0003260;Gutschrift;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;;;Gutschrift;-18556,36;EUR;;;Preis-/Mengenkorrektur bzw. Vergütung
SI10052816;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;10.01.2025;10.01.2025;DN0170078;10.01.2025;Warenlieferung;3508,60;EUR;;;
SI10052817;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;10.01.2025;10.01.2025;DN0170056;10.01.2025;Warenlieferung;11412,58;EUR;;;
SI10052818;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;10.01.2025;10.01.2025;DN0170055;10.01.2025;Warenlieferung;4374,29;EUR;;;
SI10052819;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN0170042;10.01.2025;Warenlieferung;3470,04;EUR;;;
SI10052820;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN0170041;10.01.2025;Warenlieferung;9195,07;EUR;;;
SI10052821;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054550;10.01.2025;Warenlieferung;4571,67;EUR;;;
SI10052822;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054549;10.01.2025;Warenlieferung;2634,66;EUR;;;
SI10052823;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054548;10.01.2025;Warenlieferung;7228,82;EUR;;;
SI10052824;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054547;10.01.2025;Warenlieferung;5768,41;EUR;;;
SI10052825;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054546;10.01.2025;Warenlieferung;2570,40;EUR;;;
SI10052826;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054545;10.01.2025;Warenlieferung;9103,50;EUR;;;
SI10052827;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054544;10.01.2025;Warenlieferung;3219,70;EUR;;;
SI10052828;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054543;10.01.2025;Warenlieferung;9942,09;EUR;;;
SI10052829;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054542;10.01.2025;Warenlieferung;3352,44;EUR;;;
SI10052830;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054541;10.01.2025;Warenlieferung;2764,25;EUR;;;
SI10052831;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054540;10.01.2025;Warenlieferung;5913,35;EUR;;;
SI10052832;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054539;10.01.2025;Warenlieferung;2698,92;EUR;;;
SI10052833;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054538;10.01.2025;Warenlieferung;3826,47;EUR;;;
SI10052834;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054537;10.01.2025;Warenlieferung;1776,38;EUR;;;
SI10052835;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054536;10.01.2025;Warenlieferung;4498,20;EUR;;;
SI10052836;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054535;10.01.2025;Warenlieferung;5269,32;EUR;;;
SI10052837;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054534;10.01.2025;Warenlieferung;971,61;EUR;;;
SI10052838;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;10.01.2025;DN10054533;10.01.2025;Warenlieferung;9839,92;EUR;;;
SI10052840;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054532;10.01.2025;Warenlieferung;12075,74;EUR;;;
SI10052841;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054531;10.01.2025;Warenlieferung;9116,35;EUR;;;
SI10052842;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054530;10.01.2025;Warenlieferung;8796,48;EUR;;;
SI10052843;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054529;10.01.2025;Warenlieferung;11926,66;EUR;;;
SI10052844;Rechnung;800291;ALPEN TECHNIK;C-DOM;10.01.2025;10.01.2025;DN10054528;10.01.2025;Warenlieferung;3732,86;EUR;;;
SI10052845;Rechnung;800291;ALPEN TECHNIK;C-DOM;10.01.2025;10.01.2025;DN10054527;10.01.2025;Warenlieferung;12588,25;EUR;;;
SI10052846;Rechnung;800291;ALPEN TECHNIK;C-DOM;10.01.2025;10.01.2025;DN10054526;10.01.2025;Warenlieferung;7047,39;EUR;;;
SI10052847;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054525;10.01.2025;Warenlieferung;3186,94;EUR;;;
SI10052848;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054524;10.01.2025;Warenlieferung;10149,07;EUR;;;
SI10052849;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054523;10.01.2025;Warenlieferung;10551,92;EUR;;;
SI10052850;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054522;10.01.2025;Warenlieferung;3161,24;EUR;;;
SI10052851;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054521;10.01.2025;Warenlieferung;11028,44;EUR;;;
SI10052852;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054520;10.01.2025;Warenlieferung;19434,79;EUR;;;
SI10052853;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054519;10.01.2025;Warenlieferung;9780,37;EUR;;;
SI10052854;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054517;10.01.2025;Warenlieferung;7779,03;EUR;;;
SI10052855;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054516;10.01.2025;Warenlieferung;2806,88;EUR;;;
SI10052856;Rechnung;800291;ALPEN TECHNIK;C-DOM;10.01.2025;10.01.2025;DN10054513;10.01.2025;Warenlieferung;849,66;EUR;;;
SI10052857;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054512;10.01.2025;Warenlieferung;2558,50;EUR;;;
SI10052858;Rechnung;800291;ALPEN TECHNIK;C-DOM;10.01.2025;10.01.2025;DN10054510;10.01.2025;Warenlieferung;5111,03;EUR;;;
SI10052859;Rechnung;800291;ALPEN TECHNIK;C-DOM;10.01.2025;10.01.2025;DN10054509;10.01.2025;Warenlieferung;2861,93;EUR;;;
SI10052860;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;10.01.2025;DN10054508;10.01.2025;Warenlieferung;2848,43;EUR;;;
SI10052861;Rechnung;800291;ALPEN TECHNIK;C-DOM;10.01.2025;09.01.2025;DN10054481;09.01.2025;Warenlieferung;2314,86;EUR;;;
SI10052862;Rechnung;800291;ALPEN TECHNIK;C-DOM;10.01.2025;09.01.2025;DN10054480;09.01.2025;Warenlieferung;3055,35;EUR;;;
SI10052863;Rechnung;800291;ALPEN TECHNIK;C-DOM;10.01.2025;09.01.2025;DN10054479;09.01.2025;Warenlieferung;5769,85;EUR;;;
SI10052864;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;09.01.2025;DN10054478;09.01.2025;Warenlieferung;18556,36;EUR;;;
SI10052865;Rechnung;800291;ALPEN TECHNIK;C-DOM;10.01.2025;09.01.2025;DN10054477;09.01.2025;Warenlieferung;3343,23;EUR;;;
SI10052866;Rechnung;800291;ALPEN TECHNIK;C-DOM;10.01.2025;09.01.2025;DN10054476;09.01.2025;Warenlieferung;2955,96;EUR;;;
SI10052867;Rechnung;800291;ALPEN TECHNIK;C-DOM;10.01.2025;09.01.2025;DN10054475;09.01.2025;Warenlieferung;6574,87;EUR;;;
SI10052868;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;09.01.2025;DN10054474;09.01.2025;Warenlieferung;4712,40;EUR;;;
SI10052869;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;09.01.2025;DN10054473;09.01.2025;Warenlieferung;3025,46;EUR;;;
SI10052870;Rechnung;800086;BOREASLOGISTIK GMBH;C-IC-DOM;10.01.2025;09.01.2025;DN10054472;09.01.2025;Warenlieferung;5660,53;EUR;;;
SI10052871;Rechnung;802106;WESER GEBÄUDETECHNIK GMBH;C-IC-DOM;10.01.2025;09.01.2025;DN10054471;09.01.2025;Warenlieferung;12187,12;EUR;;;
SI10052872;Rechnung;800630;FORMA FOLIEN GMBH;C-DOM;10.01.2025;09.01.2025;DN10054470;09.01.2025;Warenlieferung;2776,39;EUR;;;
SI10052873;Rechnung;800630;FORMA FOLIEN GMBH;C-DOM;10.01.2025;09.01.2025;DN10054469;09.01.2025;Warenlieferung;4452,85;EUR;;;
SI10052874;Rechnung;800186;KORUND ELEKTRO GMBH;C-DOM;10.01.2025;09.01.2025;DN10054468;09.01.2025;Warenlieferung;10618,33;EUR;;;
SI10052875;Rechnung;800186;KORUND ELEKTRO GMBH;C-DOM;10.01.2025;09.01.2025;DN10054467;09.01.2025;Warenlieferung;8222,64;EUR;;;
SI10052876;Rechnung;800062;HARZ ANLAGENBAU GMBH;C-DOM;10.01.2025;09.01.2025;DN10054465;09.01.2025;Warenlieferung;7107,16;EUR;;;
SI10052877;Rechnung;802445;HANSE INDUSTRIEBEDARF GMBH;C-DOM;10.01.2025;09.01.2025;DN10054464;09.01.2025;Warenlieferung;4716,60;EUR;;;
SI10052878;Rechnung;802794;FORMAMETALL GMBH;C-DOM;10.01.2025;09.01.2025;DN10054463;09.01.2025;Warenlieferung;7133,07;EUR;;;
SI10052923;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;09.01.2025;DN10054462;09.01.2025;Warenlieferung;3624,26;EUR;;;
SI10052963;Rechnung;800189;FOKUS MONTAGE MBH;C-DOM;10.01.2025;09.01.2025;DN10054461;09.01.2025;Warenlieferung;6120,50;EUR;;;
SI10053600;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;10.01.2025;09.01.2025;DN10054460;09.01.2025;Warenlieferung;19943,89;EUR;;;
SI10053828;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;09.01.2025;DN10054459;09.01.2025;Warenlieferung;5329,72;EUR;;;
SI10053830;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;09.01.2025;DN10054458;09.01.2025;Warenlieferung;10417,83;EUR;;;
SI10053832;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;09.01.2025;DN10054457;09.01.2025;Warenlieferung;2393,47;EUR;;;
SI10053836;Rechnung;800004;SÜD PANEELE KG;C-DOM;10.01.2025;09.01.2025;DN10054456;09.01.2025;Warenlieferung;2525,42;EUR;;;
SI10053825;Rechnung;800004;SÜD PANEELE KG;C-DOM;11.01.2025;09.01.2025;DN10054454;09.01.2025;Warenlieferung;8624,55;EUR;;;
SI10053835;Rechnung;800004;SÜD PANEELE KG;C-DOM;11.01.2025;08.01.2025;DN10054451;08.01.2025;Warenlieferung;2390,47;EUR;;;
SI10053838;Rechnung;800004;SÜD PANEELE KG;C-DOM;11.01.2025;08.01.2025;DN10054450;08.01.2025;Warenlieferung;2337,35;EUR;;;
SI10052919;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;12.01.2025;08.01.2025;DN10054449;08.01.2025;Warenlieferung;1864,87;EUR;;;
SI10053821;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;12.01.2025;08.01.2025;DN10054448;08.01.2025;Warenlieferung;1634,68;EUR;;;
SI10053824;Rechnung;800004;SÜD PANEELE KG;C-DOM;12.01.2025;08.01.2025;DN10054447;08.01.2025;Warenlieferung;5140,80;EUR;;;
SI10053826;Rechnung;800004;SÜD PANEELE KG;C-DOM;12.01.2025;08.01.2025;DN10054446;08.01.2025;Warenlieferung;2111,16;EUR;;;
SI10053829;Rechnung;800004;SÜD PANEELE KG;C-DOM;12.01.2025;08.01.2025;DN10054445;08.01.2025;Warenlieferung;4663,20;EUR;;;
SI10053831;Rechnung;800004;SÜD PANEELE KG;C-DOM;12.01.2025;08.01.2025;DN10054444;08.01.2025;Warenlieferung;13470,18;EUR;;;
SI10053842;Rechnung;800004;SÜD PANEELE KG;C-DOM;12.01.2025;08.01.2025;DN10054443;08.01.2025;Warenlieferung;3393,64;EUR;;;
SI10052880;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;13.01.2025;13.01.2025;DN0170255;13.01.2025;Warenlieferung;6883,53;EUR;;;
SI10052881;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.01.2025;13.01.2025;DN0170254;13.01.2025;Warenlieferung;9656,14;EUR;;;
SI10052882;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.01.2025;13.01.2025;DN0170253;13.01.2025;Warenlieferung;12014,48;EUR;;;
SI10052883;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.01.2025;13.01.2025;DN0170079;13.01.2025;Warenlieferung;3612,84;EUR;;;
SI10052884;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.01.2025;13.01.2025;DN0170242;13.01.2025;Warenlieferung;10986,75;EUR;;;
SI10052885;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.01.2025;13.01.2025;DN0170237;13.01.2025;Warenlieferung;10795,68;EUR;;;
SI10052886;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.01.2025;13.01.2025;DN0170236;13.01.2025;Warenlieferung;3916,29;EUR;;;
SI10052887;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.01.2025;13.01.2025;DN0170230;13.01.2025;Warenlieferung;1999,80;EUR;;;
SI10052888;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.01.2025;13.01.2025;DN0170229;13.01.2025;Warenlieferung;2246,10;EUR;;;
SI10052889;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.01.2025;13.01.2025;DN0170228;13.01.2025;Warenlieferung;10471,67;EUR;;;
