DATUM;DEBITOR;DEBITORNAME;FELD;WERT_ALT;WERT_NEU;GEAENDERT_VON;GENEHMIGT_VON;GENEHMIGT
04.04.2025;800238;TERRA SYSTEME;Mahnsperre;Nein;Ja;BSP-U02;BSP-U10;Ja
04.04.2025;800248;ONYX DACHSYSTEME GMBH & CO. KG;Mahnsperre;Nein;Ja;BSP-U02;BSP-U10;Ja
22.04.2025;801386;TALUS BAUBEDARF GMBH & CO. KG RG NORD;Mahnsperre;Nein;Ja;BSP-U02;BSP-U10;Ja
05.05.2025;800603;TAUNUS TROCKENBAU BV;Name/Firmierung;alt;neu;BSP-U08;BSP-U02;Ja
05.05.2025;802168;NOVA GEBÄUDETECHNIK GMBH & CO. KG;Name/Firmierung;alt;neu;BSP-U08;BSP-U02;Ja
11.05.2025;801684;PYRIT INDUSTRIEBAU;Name/Firmierung;alt;neu;BSP-U08;BSP-U02;Ja
17.05.2025;803062;ATLASISOLIERTECHNIK GMBH;Name/Firmierung;alt;neu;BSP-U08;BSP-U02;Ja
17.05.2025;802168;NOVA GEBÄUDETECHNIK GMBH & CO. KG;Name/Firmierung;alt;neu;BSP-U08;BSP-U02;Ja
20.05.2025;802065;SÜD TRANSPORT GMBH;Name/Firmierung;alt;neu;BSP-U08;BSP-U02;Ja
20.05.2025;801314;KOMPAKT LOGISTIK GMBH;Name/Firmierung;alt;neu;BSP-U08;BSP-U02;Ja
12.06.2025;801424;ALPENBETON GMBH & CO. KG;USt-IdNr.;alt;neu;BSP-U08;BSP-U02;Ja
27.06.2025;801828;QUARZDÄMMTECHNIK AG;USt-IdNr.;alt;neu;BSP-U08;BSP-U02;Ja
27.06.2025;800039;SOLID ANLAGENBAU GMBH;USt-IdNr.;alt;neu;BSP-U08;BSP-U02;Ja
27.06.2025;802258;KORUNDGEBÄUDETECHNIK GMBH & CO. KG;USt-IdNr.;alt;neu;BSP-U08;BSP-U02;Ja
07.07.2025;802699;ATLASANLAGENBAU;Zahlungsziel;30 Tage;45 Tage;BSP-U11;BSP-U02;Ja
10.07.2025;801353;FOKUSTECHNIK KG;Zahlungsziel;30 Tage;45 Tage;BSP-U11;BSP-U02;Ja
13.07.2025;802998;OST HOCHBAU;Zahlungsziel;30 Tage;45 Tage;BSP-U11;BSP-U02;Ja
25.07.2025;800050;KORUND LOGISTIK;Zahlungsziel;30 Tage;45 Tage;BSP-U11;BSP-U02;Ja
08.08.2025;802183;HARZMASCHINEN GMBH;Adresse;alt;neu;BSP-U02;BSP-U10;Ja
11.08.2025;800215;SILVA HOCHBAU GMBH & CO. KG;Adresse;alt;neu;BSP-U02;BSP-U10;Ja
03.09.2025;802367;GRANITKUNSTSTOFFE;Bankverbindung;DE02500142420000648536;DE75700214140000216178;BSP-U08;BSP-U02;Ja
03.09.2025;800697;RHEINPROFILE GMBH;Bankverbindung;DE21500193260000867200;DE57700264420000289066;BSP-U08;BSP-U02;Ja
09.09.2025;802157;NORD KUNSTSTOFFE GMBH & CO. KG;Bankverbindung;DE87500154160000442816;DE75700218050000480938;BSP-U08;BSP-U02;Ja
12.09.2025;802749;HARZHOCHBAU;Bankverbindung;DE7450011122222084;DE46700270400000740694;BSP-U08;BSP-U02;Ja
12.09.2025;802417;ZENITCHEMIE GMBH & CO. KG;Bankverbindung;DE7450010127484444;DE8770020042494814;BSP-U08;BSP-U02;Ja
21.09.2025;802440;DELTAVERPACKUNG GMBH & CO. KG;Bankverbindung;DE09500137220000609676;DE65700279070000536558;BSP-U08;BSP-U02;Ja
10.10.2025;800117;ATLASBAUBEDARF;Mahnsperre;Nein;Ja;BSP-U08;BSP-U02;Ja
13.10.2025;802492;BOREASZIEGEL;Mahnsperre;Nein;Ja;BSP-U08;BSP-U02;Ja
19.10.2025;803001;BEISPIEL COM S.R.L.;Mahnsperre;Nein;Ja;BSP-U08;BSP-U02;Ja
22.10.2025;802992;GRANIT SPEDITION GMBH;Mahnsperre;Nein;Ja;BSP-U08;BSP-U02;Ja
02.11.2025;803082;NORDBAUSTOFFE GMBH;Name/Firmierung;alt;neu;BSP-U11;BSP-U02;Ja
05.11.2025;800004;SÜD PANEELE KG;Name/Firmierung;alt;neu;BSP-U11;BSP-U02;Ja
05.11.2025;803036;BOREASBEDACHUNG GMBH;Name/Firmierung;alt;neu;BSP-U11;BSP-U02;Ja
17.11.2025;802241;QUARZBEDACHUNG GMBH;Name/Firmierung;alt;neu;BSP-U11;BSP-U02;Ja
17.11.2025;800291;ALPEN TECHNIK;Bankverbindung;DE44500105175407324931;DE41700202700010843421;BSP-U08;;Nein
20.11.2025;800945;SOLID FOLIEN GMBH & CO. KG;Name/Firmierung;alt;neu;BSP-U11;BSP-U02;Ja
03.12.2025;803053;TAUNUS TROCKENBAU;USt-IdNr.;alt;neu;BSP-U02;BSP-U10;Ja
09.12.2025;800197;BOREALISGERÜSTBAU GMBH;USt-IdNr.;alt;neu;BSP-U02;BSP-U10;Ja
09.12.2025;801015;TAUNUS BETON GMBH;USt-IdNr.;alt;neu;BSP-U02;BSP-U10;Ja
12.12.2025;802983;ALPEN TROCKENBAU;USt-IdNr.;alt;neu;BSP-U02;BSP-U10;Ja
18.12.2025;800212;ZENIT HANDEL GMBH;USt-IdNr.;alt;neu;BSP-U02;BSP-U10;Ja
18.12.2025;802729;VEGALOGISTIK;USt-IdNr.;alt;neu;BSP-U02;BSP-U10;Ja
18.12.2025;802099;GRANIT SYSTEME MBH;USt-IdNr.;alt;neu;BSP-U02;BSP-U10;Ja
21.12.2025;801431;GNEIS BAUELEMENTE GMBH;USt-IdNr.;alt;neu;BSP-U02;BSP-U10;Ja
