WARENAUSGANG_NR;WARENAUSGANG_DATUM;RECHNUNGSNUMMER;DEBITOR;DEBITORNAME;BETRAG_EUR;LAGERORT
DN0170270;14.01.2025;SI10052945;800002;POLARIS BAUBEDARF KG;2848,43;Werk Musterstadt
DN0170265;14.01.2025;SI10052946;800002;POLARIS BAUBEDARF KG;7653,37;Werk Musterstadt
DN0170264;14.01.2025;SI10052947;800291;ALPEN TECHNIK;11041,01;Werk Musterstadt
DN0170263;14.01.2025;SI10052948;800002;POLARIS BAUBEDARF KG;13681,67;Werk Musterstadt
DN10054724;14.01.2025;SI10052949;800002;POLARIS BAUBEDARF KG;12543,55;Werk Musterstadt
DN10054723;14.01.2025;SI10052950;800002;POLARIS BAUBEDARF KG;13343,68;Werk Musterstadt
DN10054722;14.01.2025;SI10052951;800002;POLARIS BAUBEDARF KG;2450,45;Werk Musterstadt
DN10054721;14.01.2025;SI10052952;800002;POLARIS BAUBEDARF KG;1459,77;Werk Musterstadt
DN10054720;14.01.2025;SI10052953;801071;FORMA PLATTEN GMBH;8197,22;Werk Musterstadt
DN10054719;14.01.2025;SI10052954;800170;KOMPAKTPROFILE GMBH & CO. KG;2207,12;Werk Musterstadt
DN10054718;14.01.2025;SI10052955;801948;MAIN TECHNIK;7235,74;Werk Musterstadt
DN10054717;14.01.2025;SI10052956;800946;HANSE TROCKENBAU;3564,29;Werk Musterstadt
DN0170491;15.01.2025;SI10052964;800004;SÜD PANEELE KG;2913,12;Werk Musterstadt
DN0170480;15.01.2025;SI10052968;800181;HANSE GEBÄUDETECHNIK GMBH;9047,81;Werk Musterstadt
DN0170475;15.01.2025;SI10052969;800181;HANSE GEBÄUDETECHNIK GMBH;9047,81;Werk Musterstadt
DN0170474;15.01.2025;SI10052970;800181;HANSE GEBÄUDETECHNIK GMBH;2665,50;Werk Musterstadt
DN0170436;15.01.2025;SI10052971;800181;HANSE GEBÄUDETECHNIK GMBH;2152,71;Werk Musterstadt
DN0170422;15.01.2025;SI10052972;800181;HANSE GEBÄUDETECHNIK GMBH;2536,98;Werk Musterstadt
DN0170411;15.01.2025;SI10052973;800181;HANSE GEBÄUDETECHNIK GMBH;4653,50;Werk Musterstadt
DN0170410;15.01.2025;SI10052974;800004;SÜD PANEELE KG;5750,20;Werk Musterstadt
DN0170400;15.01.2025;SI10052975;800004;SÜD PANEELE KG;2806,88;Werk Musterstadt
DN0170398;15.01.2025;SI10052976;800004;SÜD PANEELE KG;12916,03;Werk Musterstadt
DN0170394;15.01.2025;SI10052977;800004;SÜD PANEELE KG;3853,46;Werk Musterstadt
DN0170390;15.01.2025;SI10052978;800004;SÜD PANEELE KG;3757,07;Werk Musterstadt
DN0170389;15.01.2025;SI10052979;800004;SÜD PANEELE KG;9060,66;Werk Musterstadt
DN0170388;15.01.2025;SI10052980;800004;SÜD PANEELE KG;7734,62;Werk Musterstadt
DN10054795;15.01.2025;SI10052981;800004;SÜD PANEELE KG;922,13;Werk Musterstadt
DN10054794;15.01.2025;SI10052982;800004;SÜD PANEELE KG;2094,40;Werk Musterstadt
DN10054793;15.01.2025;SI10052983;800004;SÜD PANEELE KG;3397,25;Werk Musterstadt
DN10054792;15.01.2025;SI10052984;800004;SÜD PANEELE KG;3641,67;Werk Musterstadt
DN10054791;15.01.2025;SI10052985;800004;SÜD PANEELE KG;2682,64;Werk Musterstadt
DN10054790;15.01.2025;SI10052986;800004;SÜD PANEELE KG;3665,39;Werk Musterstadt
DN10054789;15.01.2025;SI10052987;800004;SÜD PANEELE KG;3421,92;Werk Musterstadt
DN10054788;15.01.2025;SI10052988;800004;SÜD PANEELE KG;1436,81;Werk Musterstadt
DN10054787;15.01.2025;SI10052989;800004;SÜD PANEELE KG;6148,40;Werk Musterstadt
DN10054786;15.01.2025;SI10052990;800004;SÜD PANEELE KG;4319,34;Werk Musterstadt
DN10054785;15.01.2025;SI10052991;800004;SÜD PANEELE KG;4289,57;Werk Musterstadt
DN10054784;15.01.2025;SI10052992;800004;SÜD PANEELE KG;7199,05;Werk Musterstadt
DN10054783;15.01.2025;SI10052993;800004;SÜD PANEELE KG;1371,95;Werk Musterstadt
DN10054782;15.01.2025;SI10052994;800004;SÜD PANEELE KG;4236,88;Werk Musterstadt
DN10054781;15.01.2025;SI10052995;800004;SÜD PANEELE KG;4363,25;Werk Musterstadt
DN10054780;15.01.2025;SI10052996;800004;SÜD PANEELE KG;11354,46;Werk Musterstadt
DN10054779;15.01.2025;SI10052997;800004;SÜD PANEELE KG;1370,88;Werk Musterstadt
DN10054778;15.01.2025;SI10052998;800004;SÜD PANEELE KG;942,48;Werk Musterstadt
DN10054777;15.01.2025;SI10052999;800004;SÜD PANEELE KG;8816,47;Werk Musterstadt
DN10054776;15.01.2025;SI10053000;800004;SÜD PANEELE KG;6978,64;Werk Musterstadt
DN10054775;15.01.2025;SI10053001;800004;SÜD PANEELE KG;2425,41;Werk Musterstadt
DN10054774;15.01.2025;SI10053002;800004;SÜD PANEELE KG;3534,94;Werk Musterstadt
DN10054773;15.01.2025;SI10053003;800004;SÜD PANEELE KG;3643,54;Werk Musterstadt
DN10054772;15.01.2025;SI10053004;800004;SÜD PANEELE KG;6570,59;Werk Musterstadt
DN10054771;15.01.2025;SI10053005;800004;SÜD PANEELE KG;3798,48;Werk Musterstadt
DN10054770;15.01.2025;SI10053006;800004;SÜD PANEELE KG;2639,37;Werk Musterstadt
DN10054769;15.01.2025;SI10053007;800004;SÜD PANEELE KG;4808,36;Werk Musterstadt
DN10054768;15.01.2025;SI10053008;800004;SÜD PANEELE KG;2467,58;Werk Musterstadt
DN10054767;15.01.2025;SI10053009;800004;SÜD PANEELE KG;2938,82;Werk Musterstadt
DN10054766;15.01.2025;SI10053010;800004;SÜD PANEELE KG;12394,47;Werk Musterstadt
DN10054765;15.01.2025;SI10053011;800004;SÜD PANEELE KG;898,89;Werk Musterstadt
DN10054764;15.01.2025;SI10053012;800004;SÜD PANEELE KG;7519,42;Werk Musterstadt
DN10054763;15.01.2025;SI10053013;800004;SÜD PANEELE KG;1298,05;Werk Musterstadt
DN10054762;15.01.2025;SI10053016;800002;POLARIS BAUBEDARF KG;2001,77;Werk Musterstadt
